timestamp,close,ema20,ema50,ema200,rsi,adx,atr,macd,macd_signal,bb_upper,bb_lower,rec_w,rec_d,rec_4h,dxy_rec,score_b,score_s
2026-08-09 17:07:30,0.58964,0.58359,0.58139,0.58338,63.85,27.91,0.003,0.003214,0.002455,0.59213,0.57536,BUY,STRONG_BUY,STRONG_BUY,SELL,46,10
2026-08-09 17:13:01,0.58964,0.58359,0.58139,0.58338,63.85,27.91,0.003,0.003214,0.002455,0.59213,0.57536,BUY,STRONG_BUY,STRONG_BUY,,46,20
2026-08-09 17:28:42,0.58964,0.58359,0.58139,0.58338,63.85,27.91,0.003,0.003214,0.002455,0.59213,0.57536,BUY,STRONG_BUY,STRONG_BUY,SELL,46,10
2026-08-09 17:44:22,0.5885,0.58348,0.58135,0.58337,61.62,27.91,0.003,0.003123,0.002437,0.59192,0.57545,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-09 18:00:02,0.58914,0.58354,0.58137,0.58338,63.04,27.91,0.003,0.003174,0.002447,0.59203,0.57541,BUY,STRONG_BUY,BUY,SELL,46,10
2026-08-09 19:20:40,0.5891,0.58354,0.58137,0.58338,62.95,27.91,0.003,0.003171,0.002447,0.59203,0.57541,BUY,STRONG_BUY,BUY,SELL,46,10
2026-08-09 19:36:20,0.5889,0.58352,0.58136,0.58338,62.5,27.91,0.003,0.003155,0.002444,0.59199,0.57542,BUY,BUY,BUY,SELL,46,10
2026-08-09 19:52:01,0.58881,0.58351,0.58136,0.58337,62.3,27.91,0.003,0.003148,0.002442,0.59198,0.57543,BUY,BUY,BUY,SELL,46,10
2026-08-09 20:07:42,0.58873,0.5835,0.58135,0.58337,62.12,27.91,0.003,0.003141,0.002441,0.59196,0.57544,BUY,BUY,BUY,SELL,46,10
2026-08-09 20:23:22,0.58857,0.58349,0.58135,0.58337,61.77,27.91,0.003,0.003128,0.002438,0.59193,0.57545,BUY,BUY,BUY,SELL,46,10
2026-08-09 20:39:03,0.58843,0.58347,0.58134,0.58337,61.47,27.91,0.003,0.003117,0.002436,0.59191,0.57546,BUY,BUY,BUY,SELL,46,10
2026-08-09 20:54:43,0.58845,0.58348,0.58134,0.58337,61.52,27.91,0.003,0.003119,0.002436,0.59191,0.57546,BUY,BUY,BUY,SELL,46,10
2026-08-09 21:04:14,0.58831,0.58346,0.58134,0.58337,61.22,27.91,0.003,0.003108,0.002434,0.59189,0.57546,BUY,BUY,BUY,SELL,46,10
2026-08-09 21:19:55,0.58855,0.58348,0.58135,0.58337,61.62,27.91,0.003,0.003123,0.002437,0.59192,0.57545,BUY,BUY,BUY,SELL,46,10
2026-08-09 21:35:37,0.58832,0.58346,0.58134,0.58337,61.24,27.91,0.003,0.003108,0.002434,0.59189,0.57546,BUY,BUY,BUY,SELL,46,10
2026-08-09 21:51:17,0.58851,0.58348,0.58135,0.58337,61.64,27.91,0.003,0.003124,0.002437,0.59192,0.57545,BUY,BUY,BUY,SELL,46,10
2026-08-09 22:04:37,0.58841,0.58347,0.58134,0.58337,61.43,27.91,0.003,0.003116,0.002436,0.59191,0.57546,BUY,BUY,BUY,SELL,46,10
2026-08-09 22:20:18,0.5883,0.58346,0.58134,0.58337,61.19,27.91,0.003,0.003107,0.002434,0.59189,0.57547,BUY,BUY,BUY,SELL,46,10
2026-08-09 22:35:58,0.58828,0.58346,0.58134,0.58337,61.15,27.91,0.003,0.003105,0.002434,0.59189,0.57547,BUY,BUY,BUY,SELL,46,10
2026-08-09 22:51:39,0.58818,0.58345,0.58133,0.58337,60.94,27.91,0.003,0.003097,0.002432,0.59187,0.57547,BUY,BUY,BUY,SELL,46,10
2026-08-09 23:07:20,0.58784,0.58342,0.58132,0.58337,60.23,27.91,0.003,0.00307,0.002427,0.59182,0.57549,BUY,STRONG_BUY,BUY,SELL,46,10
2026-08-10 08:03:14,0.58892,0.58352,0.58136,0.58338,62.54,27.91,0.003,0.003156,0.002444,0.59199,0.57542,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-10 08:18:55,0.58872,0.5835,0.58135,0.58337,62.1,27.91,0.003,0.00314,0.002441,0.59196,0.57544,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-10 08:34:35,0.58856,0.58349,0.58135,0.58337,61.75,27.91,0.003,0.003128,0.002438,0.59193,0.57545,BUY,BUY,STRONG_BUY,NEUTRAL,46,20
2026-08-10 08:46:15,0.58832,0.58346,0.58134,0.58337,61.24,27.91,0.003,0.003108,0.002434,0.59189,0.57546,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 09:01:56,0.58843,0.58347,0.58134,0.58337,61.47,27.91,0.003,0.003117,0.002436,0.59191,0.57546,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 09:17:36,0.58861,0.58349,0.58135,0.58337,61.86,27.91,0.003,0.003132,0.002439,0.59194,0.57544,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-10 09:33:17,0.58847,0.58348,0.58134,0.58337,61.56,27.91,0.003,0.00312,0.002437,0.59192,0.57545,BUY,BUY,STRONG_BUY,NEUTRAL,46,20
2026-08-10 10:29:31,0.58909,0.58354,0.58137,0.58338,62.93,27.91,0.003,0.00317,0.002447,0.59202,0.57541,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-10 10:45:11,0.58905,0.58353,0.58137,0.58338,62.84,27.91,0.003,0.003167,0.002446,0.59202,0.57541,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-10 11:00:52,0.58872,0.5835,0.58135,0.58337,62.1,27.91,0.003,0.00314,0.002441,0.59196,0.57544,BUY,BUY,BUY,SELL,46,10
2026-08-10 11:16:32,0.58897,0.58353,0.58136,0.58338,62.66,27.91,0.003,0.00316,0.002445,0.592,0.57542,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-10 13:59:46,0.5882,0.58345,0.58133,0.58337,60.98,27.91,0.003,0.003099,0.002432,0.59187,0.57547,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 14:15:27,0.58827,0.58346,0.58134,0.58337,61.13,27.91,0.003,0.003104,0.002434,0.59189,0.57547,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 14:31:07,0.58808,0.58344,0.58133,0.58337,60.73,27.91,0.003,0.003089,0.002431,0.59185,0.57548,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 14:46:48,0.58827,0.58346,0.58134,0.58337,61.13,27.91,0.003,0.003104,0.002434,0.59189,0.57547,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 15:02:28,0.58812,0.58345,0.58133,0.58337,60.81,27.91,0.003,0.003092,0.002431,0.59186,0.57548,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 15:18:09,0.58818,0.58345,0.58133,0.58337,60.94,27.91,0.003,0.003097,0.002432,0.59187,0.57547,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 15:33:49,0.5881,0.58344,0.58133,0.58337,60.77,27.91,0.003,0.003091,0.002431,0.59186,0.57548,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 15:49:30,0.5883,0.58346,0.58134,0.58337,61.19,27.91,0.003,0.003107,0.002434,0.59189,0.57547,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 16:05:11,0.58822,0.58345,0.58133,0.58337,61.02,27.91,0.003,0.0031,0.002433,0.59188,0.57547,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 16:20:52,0.58807,0.58344,0.58133,0.58337,60.71,27.91,0.003,0.003088,0.00243,0.59185,0.57548,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 18:05:05,0.58821,0.58388,0.58159,0.58341,60.79,28.72,0.003,0.003062,0.002554,0.59232,0.57571,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 19:06:58,0.58833,0.58389,0.5816,0.58341,60.96,28.72,0.003,0.003071,0.002556,0.59234,0.57571,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 19:22:39,0.58824,0.58388,0.58159,0.58341,60.83,28.72,0.003,0.003064,0.002555,0.59232,0.57571,BUY,BUY,BUY,NEUTRAL,46,20
2026-08-10 19:38:20,0.58828,0.58389,0.58159,0.58341,60.89,28.72,0.003,0.003067,0.002555,0.59233,0.57571,BUY,BUY,BUY,SELL,46,10
2026-08-10 19:54:01,0.5883,0.58389,0.58159,0.58341,60.92,28.72,0.003,0.003069,0.002556,0.59233,0.57571,BUY,BUY,BUY,SELL,46,10
2026-08-10 20:09:42,0.58869,0.58392,0.58161,0.58342,61.47,28.72,0.003,0.0031,0.002562,0.59239,0.57568,BUY,STRONG_BUY,BUY,SELL,46,10
2026-08-10 20:48:56,0.58854,0.58391,0.5816,0.58342,61.26,28.72,0.003,0.003088,0.00256,0.59237,0.57569,BUY,BUY,BUY,SELL,46,10
2026-08-10 20:57:45,0.58854,0.58391,0.5816,0.58342,61.26,28.72,0.003,0.003088,0.00256,0.59237,0.57569,BUY,BUY,BUY,SELL,46,10
2026-08-10 21:34:00,0.58887,0.58394,0.58162,0.58342,61.71,28.72,0.00413,0.003115,0.002565,0.59242,0.57567,BUY,STRONG_BUY,BUY,SELL,46,10
2026-08-10 21:41:09,0.58867,0.58392,0.58161,0.58342,61.44,28.72,0.00413,0.003099,0.002562,0.59239,0.57569,BUY,STRONG_BUY,BUY,SELL,46,10
2026-08-10 21:52:47,0.58864,0.58392,0.58161,0.58342,61.4,28.72,0.00413,0.003096,0.002561,0.59239,0.57569,BUY,STRONG_BUY,BUY,SELL,46,10
2026-08-11 08:09:35,0.58786,0.58385,0.58158,0.58341,60.27,28.19,0.00424,0.003034,0.002549,0.59227,0.57573,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 08:25:16,0.58768,0.58383,0.58157,0.58341,59.87,28.19,0.00424,0.00302,0.002546,0.59224,0.57574,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 08:40:56,0.58796,0.58385,0.58158,0.58341,60.43,28.19,0.00424,0.003042,0.00255,0.59228,0.57572,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 08:56:37,0.58825,0.58388,0.58159,0.58341,60.85,28.19,0.00424,0.003065,0.002555,0.59233,0.57571,BUY,BUY,BUY,SELL,46,10
2026-08-11 09:12:18,0.5886,0.58392,0.58161,0.58342,61.34,28.19,0.00424,0.003093,0.00256,0.59238,0.57569,BUY,STRONG_BUY,STRONG_BUY,SELL,46,10
2026-08-11 09:27:58,0.58868,0.58392,0.58161,0.58342,61.45,28.19,0.00424,0.003099,0.002562,0.59239,0.57569,BUY,STRONG_BUY,STRONG_BUY,SELL,46,10
2026-08-11 09:43:39,0.58855,0.58391,0.5816,0.58342,61.27,28.19,0.00424,0.003089,0.00256,0.59237,0.57569,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-11 09:59:20,0.58847,0.5839,0.5816,0.58342,61.16,28.19,0.00424,0.003083,0.002558,0.59236,0.5757,BUY,BUY,STRONG_BUY,SELL,46,10
2026-08-11 10:15:01,0.58824,0.58388,0.58159,0.58341,60.83,28.19,0.00424,0.003064,0.002555,0.59232,0.57571,BUY,BUY,BUY,SELL,46,10
2026-08-11 10:30:42,0.58822,0.58388,0.58159,0.58341,60.8,28.19,0.00424,0.003063,0.002554,0.59232,0.57571,BUY,BUY,BUY,SELL,46,10
2026-08-11 10:46:22,0.58832,0.58389,0.5816,0.58341,60.95,28.19,0.00424,0.003071,0.002556,0.59234,0.57571,BUY,BUY,BUY,SELL,46,10
2026-08-11 11:02:03,0.58818,0.58388,0.58159,0.58341,60.75,28.19,0.00424,0.003059,0.002554,0.59231,0.57571,BUY,BUY,BUY,SELL,46,10
2026-08-11 11:17:44,0.58775,0.58383,0.58157,0.58341,60.02,28.19,0.00424,0.003025,0.002547,0.59225,0.57573,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 11:33:24,0.58801,0.58386,0.58158,0.58341,60.5,28.19,0.00424,0.003046,0.002551,0.59229,0.57572,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 14:08:04,0.58798,0.58386,0.58158,0.58341,60.46,28.19,0.00424,0.003044,0.002551,0.59229,0.57572,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 14:23:45,0.58774,0.58383,0.58157,0.58341,60.0,28.19,0.00424,0.003024,0.002547,0.59225,0.57573,BUY,BUY,SELL,SELL,38,10
2026-08-11 14:39:25,0.58792,0.58385,0.58158,0.58341,60.37,28.19,0.00424,0.003039,0.00255,0.59228,0.57573,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 14:55:06,0.58782,0.58384,0.58158,0.58341,60.18,28.19,0.00424,0.003031,0.002548,0.59226,0.57573,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 15:10:46,0.58784,0.58384,0.58158,0.58341,60.22,28.19,0.00424,0.003032,0.002548,0.59226,0.57573,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 15:26:27,0.58788,0.58385,0.58158,0.58341,60.31,28.19,0.00424,0.003036,0.002549,0.59227,0.57573,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 15:42:08,0.58804,0.58386,0.58158,0.58341,60.54,28.19,0.00424,0.003048,0.002552,0.59229,0.57572,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-11 15:57:49,0.58803,0.58386,0.58158,0.58341,60.53,28.19,0.00424,0.003048,0.002551,0.59229,0.57572,BUY,BUY,BUY,SELL,46,10
2026-08-11 16:13:29,0.5881,0.58387,0.58159,0.58341,60.63,28.19,0.00424,0.003053,0.002553,0.5923,0.57572,BUY,BUY,BUY,SELL,46,10
2026-08-11 23:51:34,0.58661,0.58411,0.58178,0.58344,57.38,28.32,0.00405,0.002872,0.002614,0.59242,0.57574,BUY,BUY,SELL,SELL,38,10
2026-08-12 00:07:15,0.58666,0.58412,0.58178,0.58344,57.49,28.32,0.00405,0.002876,0.002615,0.59242,0.57574,BUY,BUY,SELL,SELL,38,10
2026-08-12 00:22:56,0.5867,0.58412,0.58178,0.58344,57.58,28.3,0.00406,0.00288,0.002616,0.59243,0.57573,BUY,BUY,SELL,SELL,38,10
2026-08-12 08:02:42,0.58663,0.58412,0.58178,0.58344,57.42,27.83,0.00413,0.002874,0.002615,0.59242,0.57574,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-12 08:18:22,0.58658,0.58411,0.58178,0.58344,57.32,27.83,0.00413,0.00287,0.002614,0.59242,0.57574,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-12 08:34:03,0.58737,0.58419,0.58181,0.58345,59.08,27.83,0.00413,0.002933,0.002626,0.59251,0.57572,BUY,BUY,NEUTRAL,SELL,38,10
2026-08-12 08:49:43,0.58773,0.58422,0.58182,0.58345,59.92,27.83,0.00413,0.002962,0.002632,0.59256,0.57571,BUY,BUY,BUY,SELL,46,10
