timestamp,close,ema20,ema50,ema200,rsi,adx,atr,macd,macd_signal,bb_upper,bb_lower,rec_w,rec_d,rec_4h,dxy_rec,score_b,score_s
2026-08-20 00:54:59,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,STRONG_SELL,50,15
2026-08-20 08:04:08,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,SELL,50,15
2026-08-20 08:20:03,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,SELL,50,15
2026-08-20 08:35:57,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,NEUTRAL,50,15
2026-08-20 08:51:52,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,NEUTRAL,50,15
2026-08-20 09:07:45,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,SELL,50,15
2026-08-20 09:23:40,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,NEUTRAL,50,15
2026-08-20 09:39:34,7707.98,7657.88954,7542.66268,7115.89294,57.4,21.38,70.17638,70.597028,68.659468,7934.52281,7304.80419,BUY,BUY,BUY,SELL,50,15
2026-08-20 09:55:28,7694.72,7661.3972,7548.62572,7121.65241,56.05,20.58,67.22593,64.829387,67.893452,7934.82967,7333.13933,BUY,BUY,NEUTRAL,SELL,27,23
2026-08-20 10:11:22,7685.53,7660.52197,7548.26532,7121.56097,55.15,20.58,67.22593,64.096282,67.746831,7934.02558,7333.02442,BUY,BUY,SELL,NEUTRAL,27,23
2026-08-20 10:27:16,7674.98,7659.5172,7547.8516,7121.45599,54.15,20.49,67.61164,63.254687,67.578511,7933.16792,7332.82708,BUY,BUY,SELL,SELL,47,23
2026-08-20 10:43:09,7683.19,7660.29911,7548.17356,7121.53768,54.92,20.47,67.70021,63.909615,67.709497,7933.8293,7332.9867,BUY,BUY,SELL,SELL,47,23
2026-08-20 10:59:03,7687.25,7660.68577,7548.33278,7121.57808,55.31,20.47,67.70021,64.23349,67.774272,7934.17204,7333.04996,BUY,BUY,NEUTRAL,SELL,27,23
2026-08-20 11:14:57,7699.24,7661.82768,7548.80297,7121.69738,56.5,20.47,67.70021,65.189957,67.965566,7935.24456,7333.17644,BUY,BUY,NEUTRAL,SELL,27,23
2026-08-20 11:30:51,7684.45,7660.41911,7548.22297,7121.55022,55.04,20.47,67.70021,64.010128,67.7296,7933.93456,7333.00744,BUY,BUY,NEUTRAL,SELL,27,23
2026-08-20 11:46:46,7676.77,7659.68768,7547.9218,7121.4738,54.31,20.47,67.70021,63.397479,67.60707,7933.3085,7332.8655,BUY,BUY,SELL,NEUTRAL,47,23
2026-08-20 12:02:40,7678.75,7659.87625,7547.99944,7121.4935,54.5,20.45,67.79521,63.555427,67.63866,7933.46636,7332.90564,BUY,BUY,SELL,NEUTRAL,47,23
2026-08-20 12:18:34,7674.85,7659.50482,7547.8465,7121.4547,54.13,20.45,67.79521,63.244316,67.576437,7933.15779,7332.82421,BUY,BUY,SELL,NEUTRAL,47,23
2026-08-20 12:34:28,7676.99,7659.80863,7547.9716,7121.48644,54.43,20.45,67.79521,63.498789,67.627332,7933.40947,7332.89153,BUY,BUY,SELL,NEUTRAL,47,23
2026-08-20 12:50:21,7682.44,7660.22768,7548.14415,7121.53022,54.85,20.45,67.79521,63.849786,67.697531,7933.76713,7332.97387,BUY,BUY,SELL,SELL,47,23
2026-08-20 13:06:16,7679.9,7659.98577,7548.04454,7121.50495,54.61,20.45,67.79521,63.647165,67.657007,7933.55917,7332.92783,BUY,BUY,SELL,SELL,47,23
2026-08-20 13:22:10,7676.21,7659.63435,7547.89983,7121.46823,54.26,20.45,67.79521,63.352806,67.598135,7933.26431,7332.85369,BUY,BUY,SELL,NEUTRAL,47,23
2026-08-20 13:38:05,7666.01,7658.66292,7547.49983,7121.36674,53.32,20.37,68.17093,62.539131,67.4354,7932.49389,7332.60411,BUY,BUY,SELL,NEUTRAL,47,23
2026-08-20 13:53:59,7661.54,7658.2372,7547.32454,7121.32226,52.92,20.3,68.48093,62.18255,67.364084,7932.17697,7332.47403,BUY,BUY,SELL,SELL,47,23
2026-08-20 14:09:53,7664.72,7658.54006,7547.44925,7121.3539,53.21,20.3,68.48093,62.436225,67.414819,7932.40113,7332.56787,BUY,BUY,SELL,NEUTRAL,47,23
2026-08-20 14:25:47,7653.39,7657.46101,7547.00493,7121.24116,52.21,20.16,69.15664,61.532407,67.234056,7931.63167,7332.20433,BUY,BUY,SELL,NEUTRAL,43,23
2026-08-20 14:41:41,7653.23,7657.44577,7546.99866,7121.23957,52.19,20.13,69.31236,61.519644,67.231503,7931.62139,7332.19861,BUY,BUY,SELL,NEUTRAL,43,23
2026-08-20 14:57:35,7652.55,7657.38101,7546.97199,7121.23281,52.14,20.13,69.31236,61.465399,67.220654,7931.57786,7332.17414,BUY,BUY,SELL,NEUTRAL,43,23
2026-08-20 15:13:29,7651.95,7657.32387,7546.94846,7121.22684,52.08,20.13,69.31236,61.417536,67.211081,7931.5397,7332.1523,BUY,BUY,SELL,NEUTRAL,43,23
2026-08-20 17:53:00,7641.16,7656.29625,7546.52532,7121.11947,51.17,19.97,70.09021,60.556795,67.038933,7930.89232,7331.72068,BUY,BUY,SELL,NEUTRAL,43,23
